[     233ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[     328ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[   83632ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed:  @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   84639ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   85642ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   86651ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   87654ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   88659ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   93664ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   98673ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  103697ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  108740ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  113812ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  118939ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  124154ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6kWh5-ZkoVZ-y6ohP91nM' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
