[     318ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[     428ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[   53612ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed:  @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   54618ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   55622ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   56624ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   57628ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   58630ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   63635ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   68650ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   73668ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   78711ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   83762ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   88889ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   94133ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hpXYNoypRp33uF7507_DP' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
