[     246ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[     322ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[  145757ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed:  @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  146765ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  147768ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  148770ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  149774ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  150779ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  155785ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  160791ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  165816ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  170833ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  175885ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  180921ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  186226ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=6XRntxSGwVRQj1BgKsuSN' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
