[     717ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[     833ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_f6ff3daf._.js:2297
[   92426ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed:  @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   93434ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   94438ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   95440ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   96444ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[   97450ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  102459ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  107473ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  112505ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  117543ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  122597ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  127693ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
[  132936ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=Yg9w1-4OrTZ_QjfRcP0bH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/4bb9c_next_dist_client_8306ff1b._.js:10878
